codbar,neighborhood,district,ind_equip,ind_dem,ind_econom,ind_global,vul_global,area_m2,area_km2,centroid_lat,centroid_lon,bike_parking_points,bike_parking_spaces,grid_points,underserved_share,median_nearest_bike_parking_m,p90_nearest_bike_parking_m,spaces_per_km2,points_per_km2,vulnerability_pressure,capacity_gap,accessibility_gap,underserved_gap,priority_score,base_rank,expected_priority_score,priority_score_p05,priority_score_p95,expected_rank,rank_p05,rank_p50,rank_p95,rank_interval_width,top_1_probability,top_5_probability,top_10_probability,priority_z_score,spatial_lag_z_score,spatial_quadrant,knn_neighbors
111,EL GRAU,POBLATS MARÍTIMS,2.4,3.0,2.5,2.6,Vulnerabilidad Baja,5227142.11545,5.22714211545,39.44375404709469,-0.3237062913850674,55,474,57,0.7894736842105263,841.2,1697.8,90.68052666848024,10.52200203959159,0.6499999999999999,0.9598856911728978,1.0,0.9800362976406534,0.8459693371159347,1,0.8460692793618411,0.8060971097727636,0.8837950919930383,1.002,1.0,1.0,1.0,0.0,0.998,1.0,1.0,3.4880957088317164,0.44500326379437416,high-high,5
106,LA PUNTA,QUATRE CARRERES,2.0,3.7,3.0,2.9,Vulnerabilidad Baja,6212575.89825,6.21257589825,39.44147568624166,-0.3494480690899879,12,52,72,0.8055555555555556,533.8499999999999,952.9799999999999,8.370119070037875,1.9315659392395095,0.5,1.0,0.5556496838086147,1.0,0.7111299367617229,2,0.7108325916049273,0.6538857908287412,0.768680775260598,2.2271,2.0,2.0,3.0,1.0,0.0,0.9747,0.9985,2.2933263833458457,0.1675994206134789,high-high,5
43,EL CALVARI,CAMPANAR,1.2,2.6,1.8,1.9,Vulnerabilidad Alta,93682.7325001,0.0936827325001,39.48698061023942,-0.3903436440048376,16,60,2,0.0,64.25,71.89,640.4595425302732,170.7892113414062,1.0,0.6919486723631687,0.030002386350077556,0.0,0.6135850789789661,3,0.6131016977049579,0.5102490299447566,0.7095519553960781,4.2826,2.0,3.0,11.0,9.0,0.002,0.8169,0.9385,1.4290122167775485,-0.5301930539122336,high-low,5
102,EN CORTS,QUATRE CARRERES,2.0,2.4,2.3,2.2,Vulnerabilidad Alta,364021.84785,0.36402184785,39.455800976324255,-0.3711469643986592,24,128,4,0.0,70.35,99.89000000000001,351.6272464303958,65.93010870569921,0.8499999999999999,0.8327122557670588,0.04670683689297221,0.0,0.5991550441087121,4,0.5986614343498498,0.5040944768852823,0.6849564784551427,4.6758,4.0,4.0,7.0,3.0,0.0,0.7929,0.9926,1.3011522368059572,-0.23912366368550775,high-low,5
162,CIUTAT FALLERA,BENICALAP,1.8,3.3,1.7,2.3,Vulnerabilidad Alta,496909.1565,0.4969091565,39.499637516648775,-0.3950550154014668,24,140,5,0.0,128.0,155.88,281.7416386248459,48.29856662140215,0.8,0.8667712883472185,0.0801097721035676,0.0,0.596053340924879,5,0.5955872686126855,0.5047952991928841,0.6777028960732909,5.1648,3.0,5.0,6.0,3.0,0.0,0.6873,0.9999,1.2736690248436469,-0.0054594217217650565,high-low,5
72,SOTERNES,L'OLIVERETA,1.6,2.6,2.3,2.2,Vulnerabilidad Alta,224300.667501,0.224300667501,39.47094428467513,-0.40973796744838387,14,90,3,0.0,39.8,76.36,401.24713404875956,62.41622085202927,0.8499999999999999,0.8085298035843433,0.032669132561746805,0.0,0.5890927675876523,6,0.5885963692305086,0.4939070105084965,0.6748131313715016,6.8307,5.0,6.0,10.0,5.0,0.0,0.1659,0.9504,1.2119935836204792,0.2842906075548572,high-high,5
142,CAMI DE VERA,BENIMACLET,1.4,4.1,3.3,2.9,Vulnerabilidad Baja,827036.19415,0.82703619415,39.487369938674696,-0.3523880694540034,24,146,8,0.375,174.7,532.41,176.53399093379934,29.019286180898522,0.5,0.9180446594018346,0.30474287077914325,0.46551724137931033,0.5829136961143101,7,0.5825692106121424,0.5291056309005677,0.6398975671002931,7.6871,3.0,7.0,19.0,16.0,0.0,0.3843,0.8153,1.157242783506116,-0.7477556219482183,high-low,5
94,SANT MARCEL.LI,JESUS,2.4,2.9,1.9,2.4,Vulnerabilidad Media,330434.72225,0.33043472225,39.44497019670802,-0.39002521147734087,20,78,4,0.0,70.5,106.05000000000001,236.05267469738496,60.526326845483325,0.75,0.8890379890288368,0.05038181601240903,0.0,0.5767877599111328,8,0.5762961573312239,0.4847559234871547,0.6592333253196833,7.7842,7.0,8.0,9.0,2.0,0.0,0.0036,0.9742,1.1029627982331696,0.6649686464635445,high-high,5
93,LA CREU COBERTA,JESUS,1.6,3.6,2.5,2.6,Vulnerabilidad Baja,374884.5722,0.3748845722,39.45082752973084,-0.3853982844931026,9,40,4,0.0,73.5,173.90000000000003,106.69950957240273,24.007389653790614,0.6499999999999999,0.9520787753034132,0.0908602792029591,0.0,0.5637956884316158,9,0.5633370966539077,0.4759772274876013,0.6468809686048279,9.5013,6.0,9.0,13.0,7.0,0.0,0.0165,0.8272,0.9878441575578887,0.6581419554576318,high-high,5
104,LA FONTETA S.LLUIS,QUATRE CARRERES,1.6,3.7,2.2,2.5,Vulnerabilidad Media,238826.45875,0.23882645875,39.44426549477915,-0.36721533544356033,10,42,2,0.0,56.900000000000006,65.14,175.8599119202491,41.87140760005931,0.7,0.918373174525406,0.025975420594201167,0.0,0.560707036476462,10,0.5601918380083393,0.4680621948927376,0.6459146546973503,10.1841,8.0,10.0,13.0,5.0,0.0,0.0,0.631,0.9604765884095113,0.7713618995161909,high-high,5
95,CAMI REAL,JESUS,2.2,4.0,2.8,3.0,Vulnerabilidad Baja,1477484.48625,1.47748448625,39.444923396943786,-0.39555039206714154,12,88,17,0.35294117647058826,180.6,323.74000000000007,59.560693069172316,8.12191269125077,0.44999999999999996,0.975052067480264,0.180252953108221,0.4381338742393509,0.5523795982896584,11,0.551915646265429,0.48275433615340607,0.6248510062259411,13.7369,4.0,12.0,26.0,22.0,0.0,0.1448,0.3972,0.8866897896004358,0.6764957644766278,high-high,5
105,NA ROVELLA,QUATRE CARRERES,3.4,2.4,1.7,2.5,Vulnerabilidad Media,540117.1225,0.5401171225000001,39.45287104432232,-0.365937668281256,18,136,7,0.0,63.8,82.48,251.79723866280497,33.32610511713595,0.7,0.8813648123348499,0.03632024818040807,0.0,0.5516734933365366,12,0.5511832665758418,0.46195618359221413,0.6331263557199559,12.3205,10.0,13.0,15.0,5.0,0.0,0.0,0.133,0.8804332166970599,0.09773443489823513,high-high,5
115,NATZARET,POBLATS MARÍTIMS,3.2,3.4,1.5,2.7,Vulnerabilidad Baja,917049.591849,0.9170495918489999,39.446289810363616,-0.33265995328233416,36,180,11,0.09090909090909091,138.5,248.3,196.28164234507238,39.25632846901448,0.5999999999999999,0.908420561909979,0.1352463906455077,0.11285266457680251,0.5508607131597754,13,0.5504407491056289,0.47626024979521564,0.6233300460135262,13.4484,9.0,13.0,21.0,12.0,0.0,0.0,0.1124,0.8732314283399005,0.9375973919355991,high-high,5
92,L'HORT DE SENABRE,JESUS,2.8,2.6,2.1,2.5,Vulnerabilidad Media,426353.70905,0.42635370905000003,39.45150388903254,-0.39080557041597475,19,126,5,0.0,49.1,120.66,295.5292690680534,44.5639373991509,0.7,0.8600518310910835,0.05909795967068369,0.0,0.5498351412614618,14,0.5493747478075657,0.4627735302126483,0.628023149638296,13.0159,11.0,13.0,15.0,4.0,0.0,0.0,0.0007,0.8641441597673134,0.8078309746602285,high-high,5
124,CAMI FONDO,CAMINS AL GRAU,1.4,3.0,3.0,2.5,Vulnerabilidad Media,157186.55,0.15718654999999998,39.46486000321516,-0.35321124845752216,8,46,2,0.0,83.25,86.09,292.64590386391205,50.894939802419486,0.7,0.8614570507423399,0.0384739291254027,0.0,0.5461319010477824,15,0.5456519735674701,0.45769930415503673,0.6257886605267717,14.622,12.0,15.0,17.0,5.0,0.0,0.0,0.0,0.8313309182326651,-0.19954764367973318,high-low,5
123,LA CREU DEL GRAU,CAMINS AL GRAU,2.6,2.6,2.3,2.5,Vulnerabilidad Media,391644.8598,0.39164485979999997,39.46173497365139,-0.3450156328165615,24,139,6,0.0,71.69999999999999,116.4,354.9133775711564,61.280007638185275,0.7,0.8311107465135762,0.056556496838086154,0.0,0.54064452332169,16,0.5401938914740299,0.4552608254200011,0.6170486537454913,16.0256,14.0,16.0,18.0,4.0,0.0,0.0,0.0,0.7827089978795103,0.008540193380421196,high-high,5
91,LA RAIOSA,JESUS,2.4,2.4,2.7,2.5,Vulnerabilidad Media,375450.96,0.37545096,39.45757045998195,-0.3860611494384202,29,156,5,0.0,86.7,147.82,415.5003359160408,77.24044706131528,0.7,0.8015834482185856,0.07530127669729149,0.0,0.535535289805034,17,0.5351142196287478,0.4534578540662748,0.6088832266664147,17.3848,16.0,17.0,20.0,4.0,0.0,0.0,0.0,0.7374376938955909,0.15925330658864204,high-high,5
